group_name,link,platform
Centre for Diaspora and Transnational Studies,https://www.facebook.com/UofTCDTS/,facebook
Centre for Diaspora and Transnational Studies,https://www.instagram.com/uoft_cdts/,instagram
Centre for Diaspora and Transnational Studies,https://twitter.com/UofT_CDTS,twitter
"Centre for Drama, Theatre & Performance Studies",https://www.facebook.com/CDTPS/,facebook
"Centre for Drama, Theatre & Performance Studies",https://www.instagram.com/cdtps_uoft/,instagram
"Centre for Drama, Theatre & Performance Studies",https://twitter.com/cdtps_uoft,twitter
"Centre for European, Russian, and Eurasian Studies",https://www.facebook.com/CERESMunk,facebook
"Centre for European, Russian, and Eurasian Studies",https://twitter.com/CERESMunk,twitter
Centre for Indigenous Studies,https://www.facebook.com/IndigenousUofT/,facebook
Centre for Indigenous Studies,https://twitter.com/IndigenousUofT,twitter
Centre for Indigenous Studies,https://www.youtube.com/channel/UC__vuJH9x3YX7b_z5FepP8A,youtube
Centre for International Experience,https://www.facebook.com/CentreforInternationalExperience,facebook
Centre for International Experience,https://twitter.com/uoftcie,twitter
Centre for Reformation and Renaissance Studies,https://www.facebook.com/pages/Centre-for-Reformation-and-Renaissance-Studies-CRRS/109176085775329,facebook
Centre for Reformation and Renaissance Studies,https://twitter.com/CRRS_Toronto,twitter
Centre for South Asian Studies,https://www.facebook.com/csasut,facebook
Centre for South Asian Studies,https://twitter.com/CSAStoronto,twitter
Centre for Teaching Support & Innovation,https://twitter.com/UofT_Teaching,twitter
Centre for the Study of the United States,https://www.facebook.com/AmericanStudiesUofT/,facebook
Centre for the Study of the United States,https://instagram.com/csusuoft/,instagram
Centre for the Study of the United States,https://twitter.com/CSUSUofT,twitter
Charles Street- Student Family Housing,https://www.facebook.com/pages/University-of-Toronto-Student-Family-Housing/330224823658468,facebook
Charles Street- Student Family Housing,http://instagram.com/sfhreslife,instagram
Charles Street- Student Family Housing,https://twitter.com/SFHResLife,twitter
Cheng Yu Tung East Asian Library,https://www.facebook.com/groups/eal.uoft/,facebook
Cheng Yu Tung East Asian Library,https://twitter.com/EastAsianLib,twitter
Chestnut Residence & Conference Centre,https://www.facebook.com/chestnutresidence/,facebook
Chestnut Residence & Conference Centre,https://www.instagram.com/chestnutresidence/,instagram
"Continuing Professional Development, Temerty Faculty of Medicine",https://www.facebook.com/uoft_cdts/,facebook
"Continuing Professional Development, Temerty Faculty of Medicine",https://www.linkedin.com/company/1982628,linkedin
"Continuing Professional Development, Temerty Faculty of Medicine",https://twitter.com/uoftcpd,twitter
Creative Destruction Lab (CDL),https://www.facebook.com/creativedestructionlab,facebook
Creative Destruction Lab (CDL),https://www.linkedin.com/company/creative-destruction-lab,linkedin
Creative Destruction Lab (CDL),https://twitter.com/creativedlab,twitter
Criminology Library,https://twitter.com/CrimLib,twitter
Dalla Lana School of Public Health,https://www.facebook.com/DallaLanaSchoolOfPublicHealth,facebook
Dalla Lana School of Public Health,https://instagram.com/uoft_dlsph/,instagram
Dalla Lana School of Public Health,https://twitter.com/UofT_dlsph,twitter
Dentistry Library,https://twitter.com/UofTDentLib,twitter
Department for the Study of Religion,http://facebook.com/UofTReligion,facebook
Department for the Study of Religion,http://twitter.com/UofTReligion,twitter
Department of Anesthesia,http://twitter.com/UT_Anesthesia,twitter
Department of Cell & Systems Biology,https://twitter.com/UofTCellSysBiol,twitter
Department of Chemical Engineering & Applied Chemistry,https://www.facebook.com/chemeng?fref=ts,facebook
Department of Chemical Engineering & Applied Chemistry,https://www.linkedin.com/profile/view?id=49496526&trk=spm_pic,linkedin
Department of Chemical Engineering & Applied Chemistry,https://twitter.com/ChemEng_UofT,twitter
Department of Chemistry,https://twitter.com/chemuoft,twitter
Department of Chemistry,https://www.youtube.com/channel/UCjKseW2IpKN8dShP5mu6YSw,youtube
Department of Chemistry - Alumni,https://www.linkedin.com/groups/8463858/,linkedin
